Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .0##00000.#010111#.0##000##-S : [Fi: 0,11] [Ex: 00003,0] [Pr: 0,01] [PE: 0,00] [AS: 004,0] [Ti: 01227] [Nu: 001] [Pa: 001]
     - .0#000000.###0#000.1#00#0##-S : [Fi: 0,11] [Ex: 00005,0] [Pr: 0,12] [PE: 0,09] [AS: 008,6] [Ti: 01850] [Nu: 001] [Pa: 001]
     - .##0##0#0.001011##.00##001#-W : [Fi: 0,11] [Ex: 00005,0] [Pr: 0,15] [PE: 0,12] [AS: 007,0] [Ti: 01956] [Nu: 001] [Pa: 001]
     - .00000#00.1##00###.00##001#-N : [Fi: 0,11] [Ex: 00023,0] [Pr: 0,11] [PE: 0,11] [AS: 025,4] [Ti: 01938] [Nu: 001] [Pa: 001]
     - .#0000000.#0######.###0####-N : [Fi: 0,11] [Ex: 00028,0] [Pr: 0,13] [PE: 0,15] [AS: 027,6] [Ti: 01994] [Nu: 002] [Pa: 001]
     - .000##00#.11000010.#000001#-N : [Fi: 0,11] [Ex: 00003,0] [Pr: 0,00] [PE: 0,00] [AS: 009,0] [Ti: 01747] [Nu: 001] [Pa: 001]
     - .00000010.1#000#00.0#####0#-S : [Fi: 0,11] [Ex: 00005,0] [Pr: 0,57] [PE: 0,26] [AS: 002,0] [Ti: 01691] [Nu: 001] [Pa: 001]
     - .#00#0000.10000000.00#00#10-W : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,02] [PE: 0,01] [AS: 001,0] [Ti: 00062] [Nu: 001] [Pa: 001]
     - .#000#0##.10#0#100.0##0###0-W : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,01] [PE: 0,01] [AS: 001,0] [Ti: 00128] [Nu: 001] [Pa: 001]
     - .##000##0.101000#0.#000#000-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,00] [PE: 0,00] [AS: 001,0] [Ti: 00557] [Nu: 001] [Pa: 001]
     - .#00#0000.1010#0#0.00101#0#-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,00] [PE: 0,00] [AS: 001,0] [Ti: 00631] [Nu: 001] [Pa: 001]
     - .0##00#00.##11#010.0#####11-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,01] [PE: 0,01] [AS: 001,0] [Ti: 00788] [Nu: 001] [Pa: 001]
